experiment_id,method_id,method_label,seed,dataset,split,class_index,class_angle,n,precision,recall,f1,source_file,notes
A4b-5,candidate_only,candidate_only,43,Alpha_100,test,0,15.0,351,0.7355371900826446,0.7606837606837606,0.7478991596638656,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,candidate_only,candidate_only,43,Alpha_100,test,1,30.0,145,0.6133333333333333,0.31724137931034485,0.4181818181818182,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,candidate_only,candidate_only,43,Alpha_100,test,2,45.0,354,0.6945701357466063,0.867231638418079,0.7713567839195979,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,candidate_only,candidate_only,43,Alpha_100,test,3,60.0,156,0.6746031746031746,0.5448717948717948,0.6028368794326241,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,oracle,oracle,43,Alpha_100,val,0,15.0,350,0.7642487046632125,0.8428571428571429,0.8016304347826086,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,oracle,oracle,43,Alpha_100,val,1,30.0,144,0.7761194029850746,0.3611111111111111,0.4928909952606635,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,oracle,oracle,43,Alpha_100,val,2,45.0,352,0.7761194029850746,0.8863636363636364,0.8275862068965517,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,oracle,oracle,43,Alpha_100,val,3,60.0,155,0.773972602739726,0.7290322580645161,0.7508305647840532,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,oracle,oracle,43,Alpha_100,test,0,15.0,351,0.7828282828282829,0.8831908831908832,0.8299866131191433,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,oracle,oracle,43,Alpha_100,test,1,30.0,145,0.7945205479452054,0.4,0.5321100917431193,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,oracle,oracle,43,Alpha_100,test,2,45.0,354,0.8226221079691517,0.903954802259887,0.8613728129205922,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,oracle,oracle,43,Alpha_100,test,3,60.0,156,0.7972972972972973,0.7564102564102564,0.7763157894736842,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,a4b5d_class_aware_prob_train,a4b5d_class_aware_prob_train,43,Alpha_100,val,0,15.0,350,0.7445652173913043,0.7828571428571428,0.7632311977715877,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,a4b5d_class_aware_prob_train,a4b5d_class_aware_prob_train,43,Alpha_100,val,1,30.0,144,0.6329113924050633,0.3472222222222222,0.44843049327354256,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,a4b5d_class_aware_prob_train,a4b5d_class_aware_prob_train,43,Alpha_100,val,2,45.0,352,0.7281795511221946,0.8295454545454546,0.7755644090305446,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,a4b5d_class_aware_prob_train,a4b5d_class_aware_prob_train,43,Alpha_100,val,3,60.0,155,0.673202614379085,0.6645161290322581,0.6688311688311689,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,a4b5d_class_aware_prob_train,a4b5d_class_aware_prob_train,43,Alpha_100,test,0,15.0,351,0.7480106100795756,0.8034188034188035,0.7747252747252747,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,a4b5d_class_aware_prob_train,a4b5d_class_aware_prob_train,43,Alpha_100,test,1,30.0,145,0.6063829787234043,0.3931034482758621,0.4769874476987448,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,a4b5d_class_aware_prob_train,a4b5d_class_aware_prob_train,43,Alpha_100,test,2,45.0,354,0.7766233766233767,0.844632768361582,0.8092016238159677,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,a4b5d_class_aware_prob_train,a4b5d_class_aware_prob_train,43,Alpha_100,test,3,60.0,156,0.72,0.6923076923076923,0.7058823529411765,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,primary_only,primary_only,44,Alpha_100,val,0,15.0,350,0.6764705882352942,0.7885714285714286,0.7282321899736149,outputs/a4b_5_gated_late_fusion_seed44_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,primary_only,primary_only,44,Alpha_100,val,1,30.0,144,0.5818181818181818,0.2222222222222222,0.32160804020100503,outputs/a4b_5_gated_late_fusion_seed44_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,primary_only,primary_only,44,Alpha_100,val,2,45.0,352,0.7328042328042328,0.7869318181818182,0.7589041095890412,outputs/a4b_5_gated_late_fusion_seed44_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,primary_only,primary_only,44,Alpha_100,val,3,60.0,155,0.65625,0.6774193548387096,0.6666666666666667,outputs/a4b_5_gated_late_fusion_seed44_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,primary_only,primary_only,44,Alpha_100,test,0,15.0,351,0.6964705882352941,0.8433048433048433,0.7628865979381442,outputs/a4b_5_gated_late_fusion_seed44_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,primary_only,primary_only,44,Alpha_100,test,1,30.0,145,0.6274509803921569,0.2206896551724138,0.32653061224489793,outputs/a4b_5_gated_late_fusion_seed44_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,primary_only,primary_only,44,Alpha_100,test,2,45.0,354,0.7398373983739838,0.7711864406779662,0.7551867219917013,outputs/a4b_5_gated_late_fusion_seed44_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,primary_only,primary_only,44,Alpha_100,test,3,60.0,156,0.6583850931677019,0.6794871794871795,0.6687697160883281,outputs/a4b_5_gated_late_fusion_seed44_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,candidate_only,candidate_only,44,Alpha_100,val,0,15.0,350,0.6628175519630485,0.82,0.7330779054916985,outputs/a4b_5_gated_late_fusion_seed44_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,candidate_only,candidate_only,44,Alpha_100,val,1,30.0,144,0.7333333333333333,0.22916666666666666,0.3492063492063492,outputs/a4b_5_gated_late_fusion_seed44_by_class.csv,A4b prediction-level fusion per-class result
